year,y,x_Albania,x_Bosnia and Herzegovina,x_Serbia,x_Montenegro,x_Ukraine,x_Belarus,x_Georgia,x_Armenia
1990,8.804752038483516,8.269891354844878,7.490058252452072,9.514105925642106,9.39647577936677,9.478816733570701,9.71194432450677,9.49346377815387,8.91477199294358
1991,8.820596984806967,8.053666871002541,7.387437275681385,9.38765338414154,9.276988844423986,9.408917857769861,9.698555461452354,9.344493643708308,8.791967748562074
1992,8.749798404936579,7.803292401058944,7.379392144830082,9.05445976691918,9.005143155411414,9.323412332774009,9.524900880100402,8.52564708351236,8.255024024603733
1993,8.742593203385471,8.011091948268849,7.43049722915859,8.68913134510647,8.547750293839309,9.11226662843412,9.285314303761472,8.011151556642153,8.168424469213257
1994,8.7787494882576,8.19958877560134,7.5763129639461955,8.7128852941612,8.55882525772988,8.934564464276335,9.168383460238335,7.925844240311365,8.004965675509045
1995,8.817635285679604,8.284498246064885,7.770117442655252,8.767105301727906,8.692504559264835,8.803229682415926,9.131491541772983,7.976032074275325,8.072596862257832
1996,8.824234226732921,8.432923350656266,8.306887954054634,8.765906867242501,8.936678338360466,8.714536166219409,9.165025305140345,8.117282077644276,8.137032488816844
1997,8.841588490434281,8.230121613472024,8.562432554117422,8.836269949153053,8.98981332139423,8.639590305282805,9.169135626526954,8.218251899638226,8.091104889593812
1998,8.88653394188096,8.195308020328342,8.572241469754264,8.913236237973642,9.049372013100301,8.604134509255767,9.186088375573949,8.224856978269138,8.120610793106126
1999,8.975384418295203,8.336531377020236,8.675094151678982,9.063027762981807,8.962053256695182,8.600395434782289,9.18320309554454,8.262132976017604,8.14100064152293
2000,9.042291700889331,8.44467547455223,8.628897217275792,9.129891514044441,9.05004227039466,8.62470258322673,9.207829838808516,8.297416619636248,8.19622889441588
2001,9.080017656486284,8.541258633395552,8.657628293809655,9.078112278303614,9.149493228498862,8.682434253978606,9.249188582289316,8.376118706186135,8.296893142846452
2002,9.082962656025472,8.615397782326859,8.725835443109448,9.181281681028851,9.128075244435289,8.744349120565603,9.275478955594142,8.469501909939973,8.421151038600655
2003,9.11899176120397,8.718769991763176,8.778782062040948,9.254757658836091,9.135210420352802,8.845167356492707,9.310530519794886,8.571054596652848,8.547716464393595
2004,9.146508519089446,8.814297422489075,8.850939081801748,9.299007103493839,9.180101756433926,8.98773899569093,9.382102073921521,8.64721298757817,8.649388029052796
2005,9.224415691923705,8.896157963039862,8.915331509522906,9.36822618380655,9.24062479869816,9.077899600886466,9.47827039512259,8.74962538139896,8.775524488805784
2006,9.277982588995403,8.987772140936016,9.041024129186166,9.46428574981181,9.39586031727065,9.177329712216622,9.597440588339202,8.880263630022126,8.912463761518367
2007,9.363381204906519,9.078678832582918,9.141413743887826,9.52721962624576,9.587641820616296,9.305792283202505,9.69538935772392,9.017929206759339,9.061240209782822
2008,9.439426045824703,9.175824359750534,9.219027530812493,9.606085278587845,9.662576548389623,9.37675635494004,9.833402296694935,9.093599321886582,9.126214809138704
2009,9.504077181646736,9.259237238918594,9.250248047019383,9.61362853374728,9.65180541536623,9.224948437954671,9.804925432227568,9.121248288788113,9.030214748392469
2010,9.537757100109834,9.275290563896096,9.278019028862342,9.607429627907281,9.667657928217308,9.24845554655776,9.884830175818449,9.177422482468819,9.112324914460173
2011,9.540637941183329,9.328488210733477,9.335122069079116,9.700978861256258,9.742610417001943,9.348462132543599,10.050735752192931,9.264214927359388,9.211607310967626
2012,9.567253012772518,9.352715110065452,9.370081052679362,9.704436557876889,9.709999331271526,9.395920272009267,10.046936617950706,9.323606537929702,9.325260935054343
2013,9.59212537760962,9.319499588129567,9.378379850016412,9.713844674432153,9.715567170729727,9.468508894507268,10.016718149506866,9.368462935288331,9.300691297518856
2014,9.648777080637064,9.363417969583827,9.400871497986603,9.695678525865823,9.730673038498216,9.40762103534488,10.00969887346524,9.419861215591895,9.328257258344134
